subject,k,fold,train,test
1,2,0,0.5056179775280899,0.5217391304347826
1,2,1,0.5056179775280899,0.5217391304347826
1,2,2,0.5280898876404494,0.43478260869565216
1,4,0,0.5617977528089888,0.4782608695652174
1,4,1,0.5617977528089888,0.6086956521739131
1,4,2,0.5842696629213483,0.4782608695652174
1,6,0,0.5280898876404494,0.43478260869565216
1,6,1,0.5393258426966292,0.4782608695652174
1,6,2,0.5617977528089888,0.43478260869565216
1,8,0,0.6404494382022472,0.6086956521739131
1,8,1,0.5056179775280899,0.5217391304347826
1,8,2,0.6404494382022472,0.5652173913043478
1,10,0,0.6404494382022472,0.5652173913043478
1,10,1,0.5730337078651685,0.4782608695652174
1,10,2,0.6292134831460674,0.5217391304347826
1,12,0,0.5955056179775281,0.5652173913043478
1,12,1,0.5842696629213483,0.5652173913043478
1,12,2,0.5730337078651685,0.43478260869565216
2,2,0,0.5393258426966292,0.6521739130434783
2,2,1,0.5393258426966292,0.5652173913043478
2,2,2,0.4943820224719101,0.5217391304347826
2,4,0,0.5955056179775281,0.4782608695652174
2,4,1,0.5617977528089888,0.6956521739130435
2,4,2,0.5955056179775281,0.5217391304347826
2,6,0,0.5842696629213483,0.5217391304347826
2,6,1,0.550561797752809,0.7391304347826086
2,6,2,0.5955056179775281,0.5217391304347826
2,8,0,0.5393258426966292,0.6956521739130435
2,8,1,0.42696629213483145,0.43478260869565216
2,8,2,0.6179775280898876,0.43478260869565216
2,10,0,0.5842696629213483,0.4782608695652174
2,10,1,0.5168539325842697,0.30434782608695654
2,10,2,0.4943820224719101,0.5652173913043478
2,12,0,0.5842696629213483,0.43478260869565216
2,12,1,0.550561797752809,0.6956521739130435
2,12,2,0.5955056179775281,0.6086956521739131
4,2,0,0.5617977528089888,0.30434782608695654
4,2,1,0.5056179775280899,0.5217391304347826
4,2,2,0.5280898876404494,0.5652173913043478
4,4,0,0.48314606741573035,0.6086956521739131
4,4,1,0.5056179775280899,0.6086956521739131
4,4,2,0.48314606741573035,0.43478260869565216
4,6,0,0.449438202247191,0.6521739130434783
4,6,1,0.5280898876404494,0.4782608695652174
4,6,2,0.48314606741573035,0.43478260869565216
4,8,0,0.5393258426966292,0.5652173913043478
4,8,1,0.42696629213483145,0.43478260869565216
4,8,2,0.4606741573033708,0.391304347826087
4,10,0,0.47191011235955055,0.34782608695652173
4,10,1,0.4044943820224719,0.43478260869565216
4,10,2,0.550561797752809,0.4782608695652174
4,12,0,0.550561797752809,0.43478260869565216
4,12,1,0.4606741573033708,0.5652173913043478
4,12,2,0.5393258426966292,0.4782608695652174
5,2,0,0.5056179775280899,0.782608695652174
5,2,1,0.5617977528089888,0.43478260869565216
5,2,2,0.5168539325842697,0.43478260869565216
5,4,0,0.5730337078651685,0.6521739130434783
5,4,1,0.5168539325842697,0.391304347826087
5,4,2,0.5280898876404494,0.5652173913043478
5,6,0,0.5730337078651685,0.6521739130434783
5,6,1,0.550561797752809,0.43478260869565216
5,6,2,0.6179775280898876,0.4782608695652174
5,8,0,0.550561797752809,0.21739130434782608
5,8,1,0.5617977528089888,0.4782608695652174
5,8,2,0.6179775280898876,0.5217391304347826
5,10,0,0.5393258426966292,0.6956521739130435
5,10,1,0.5955056179775281,0.43478260869565216
5,10,2,0.5056179775280899,0.5652173913043478
5,12,0,0.5056179775280899,0.34782608695652173
5,12,1,0.5730337078651685,0.4782608695652174
5,12,2,0.4943820224719101,0.4782608695652174
6,2,0,0.5168539325842697,0.43478260869565216
6,2,1,0.5393258426966292,0.391304347826087
6,2,2,0.5168539325842697,0.6521739130434783
6,4,0,0.5730337078651685,0.43478260869565216
6,4,1,0.4606741573033708,0.6086956521739131
6,4,2,0.5393258426966292,0.391304347826087
6,6,0,0.5730337078651685,0.5652173913043478
6,6,1,0.5617977528089888,0.43478260869565216
6,6,2,0.5955056179775281,0.4782608695652174
6,8,0,0.5168539325842697,0.43478260869565216
6,8,1,0.48314606741573035,0.5217391304347826
6,8,2,0.5617977528089888,0.5217391304347826
6,10,0,0.5393258426966292,0.4782608695652174
6,10,1,0.5842696629213483,0.391304347826087
6,10,2,0.5842696629213483,0.5217391304347826
6,12,0,0.5168539325842697,0.5217391304347826
6,12,1,0.48314606741573035,0.30434782608695654
6,12,2,0.5393258426966292,0.43478260869565216
7,2,0,0.5617977528089888,0.391304347826087
7,2,1,0.550561797752809,0.5217391304347826
7,2,2,0.5393258426966292,0.391304347826087
7,4,0,0.5730337078651685,0.5217391304347826
7,4,1,0.5617977528089888,0.5652173913043478
7,4,2,0.5617977528089888,0.34782608695652173
7,6,0,0.5617977528089888,0.43478260869565216
7,6,1,0.5280898876404494,0.5652173913043478
7,6,2,0.42696629213483145,0.4782608695652174
7,8,0,0.5955056179775281,0.391304347826087
7,8,1,0.5393258426966292,0.5652173913043478
7,8,2,0.5280898876404494,0.4782608695652174
7,10,0,0.4943820224719101,0.34782608695652173
7,10,1,0.5056179775280899,0.5217391304347826
7,10,2,0.5280898876404494,0.5652173913043478
7,12,0,0.5617977528089888,0.43478260869565216
7,12,1,0.5393258426966292,0.5652173913043478
7,12,2,0.5842696629213483,0.5217391304347826
13,2,0,0.5113636363636364,0.30434782608695654
13,2,1,0.5681818181818182,0.6086956521739131
13,2,2,0.48863636363636365,0.43478260869565216
13,4,0,0.4772727272727273,0.4782608695652174
13,4,1,0.5568181818181818,0.43478260869565216
13,4,2,0.5227272727272727,0.5217391304347826
13,6,0,0.48863636363636365,0.34782608695652173
13,6,1,0.5340909090909091,0.5217391304347826
13,6,2,0.5113636363636364,0.43478260869565216
13,8,0,0.5454545454545454,0.6956521739130435
13,8,1,0.5113636363636364,0.5652173913043478
13,8,2,0.5113636363636364,0.5652173913043478
13,10,0,0.5227272727272727,0.6086956521739131
13,10,1,0.4659090909090909,0.43478260869565216
13,10,2,0.5227272727272727,0.391304347826087
13,12,0,0.5,0.6086956521739131
13,12,1,0.5568181818181818,0.6521739130434783
13,12,2,0.5,0.5217391304347826
15,2,0,0.5113636363636364,0.6086956521739131
15,2,1,0.5454545454545454,0.43478260869565216
15,2,2,0.5340909090909091,0.43478260869565216
15,4,0,0.5,0.4782608695652174
15,4,1,0.42045454545454547,0.6086956521739131
15,4,2,0.5340909090909091,0.43478260869565216
15,6,0,0.5340909090909091,0.391304347826087
15,6,1,0.5340909090909091,0.34782608695652173
15,6,2,0.48863636363636365,0.43478260869565216
15,8,0,0.5,0.43478260869565216
15,8,1,0.4431818181818182,0.6521739130434783
15,8,2,0.45454545454545453,0.5217391304347826
15,10,0,0.4659090909090909,0.4782608695652174
15,10,1,0.5568181818181818,0.34782608695652173
15,10,2,0.5,0.4782608695652174
15,12,0,0.5113636363636364,0.43478260869565216
15,12,1,0.4659090909090909,0.4782608695652174
15,12,2,0.48863636363636365,0.5652173913043478
16,2,0,0.5568181818181818,0.6086956521739131
16,2,1,0.4772727272727273,0.5652173913043478
16,2,2,0.5909090909090909,0.30434782608695654
16,4,0,0.5568181818181818,0.6521739130434783
16,4,1,0.5568181818181818,0.4782608695652174
16,4,2,0.6022727272727273,0.391304347826087
16,6,0,0.5340909090909091,0.5652173913043478
16,6,1,0.6022727272727273,0.6086956521739131
16,6,2,0.6363636363636364,0.43478260869565216
16,8,0,0.5,0.4782608695652174
16,8,1,0.5340909090909091,0.4782608695652174
16,8,2,0.6022727272727273,0.391304347826087
16,10,0,0.5113636363636364,0.5652173913043478
16,10,1,0.5568181818181818,0.4782608695652174
16,10,2,0.5681818181818182,0.34782608695652173
16,12,0,0.5113636363636364,0.5217391304347826
16,12,1,0.5909090909090909,0.43478260869565216
16,12,2,0.4431818181818182,0.6086956521739131
17,2,0,0.5340909090909091,0.5217391304347826
17,2,1,0.5340909090909091,0.5652173913043478
17,2,2,0.48863636363636365,0.391304347826087
17,4,0,0.48863636363636365,0.4782608695652174
17,4,1,0.5340909090909091,0.4782608695652174
17,4,2,0.5795454545454546,0.4782608695652174
17,6,0,0.5227272727272727,0.391304347826087
17,6,1,0.48863636363636365,0.391304347826087
17,6,2,0.4318181818181818,0.5217391304347826
17,8,0,0.48863636363636365,0.391304347826087
17,8,1,0.5,0.43478260869565216
17,8,2,0.5340909090909091,0.391304347826087
17,10,0,0.5340909090909091,0.30434782608695654
17,10,1,0.4772727272727273,0.5652173913043478
17,10,2,0.5227272727272727,0.4782608695652174
17,12,0,0.5340909090909091,0.391304347826087
17,12,1,0.5,0.4782608695652174
17,12,2,0.5227272727272727,0.4782608695652174
23,2,0,0.5454545454545454,0.4782608695652174
23,2,1,0.5795454545454546,0.43478260869565216
23,2,2,0.5681818181818182,0.43478260869565216
23,4,0,0.5909090909090909,0.5217391304347826
23,4,1,0.42045454545454547,0.6086956521739131
23,4,2,0.5568181818181818,0.5217391304347826
23,6,0,0.5909090909090909,0.5217391304347826
23,6,1,0.6022727272727273,0.391304347826087
23,6,2,0.6477272727272727,0.5217391304347826
23,8,0,0.5909090909090909,0.4782608695652174
23,8,1,0.4772727272727273,0.6521739130434783
23,8,2,0.5795454545454546,0.5217391304347826
23,10,0,0.5681818181818182,0.4782608695652174
23,10,1,0.6022727272727273,0.5217391304347826
23,10,2,0.5340909090909091,0.5217391304347826
23,12,0,0.5681818181818182,0.34782608695652173
23,12,1,0.6363636363636364,0.4782608695652174
23,12,2,0.5568181818181818,0.5652173913043478
26,2,0,0.3409090909090909,0.43478260869565216
